category,process,processid,sourceip,destinationip,destinationport,source_file,source_dir,line_number,subnet,organization,country,asn,description
network_termination,Cursor.exe,11072,192.168.1.48,100.51.82.225,443,network_304_2025-12-28_08-50.log,ready,3915,100.51.82.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,34.225.90.73,443,network_304_2025-12-28_08-50.log,ready,3970,34.225.90.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,100.49.179.83,443,network_304_2025-12-28_08-50.log,ready,3997,100.49.179.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,34.232.233.159,443,network_304_2025-12-28_08-50.log,ready,4066,34.232.233.0/24,AT-88-Z,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,3.221.202.189,443,network_304_2025-12-28_08-50.log,ready,4087,3.221.202.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,1016,192.168.1.48,3.86.137.89,443,network_304_2025-12-28_08-50.log,ready,4219,3.86.137.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,44.221.238.24,443,network_304_2025-12-28_08-50.log,ready,4222,44.221.238.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_termination,Cursor.exe,11072,192.168.1.48,44.219.4.152,443,network_304_2025-12-28_08-50.log,ready,4249,44.219.4.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,54.156.154.21,443,network_304_2025-12-28_08-50.log,ready,4257,54.156.154.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,54.83.140.254,443,network_304_2025-12-28_08-50.log,ready,4317,54.83.140.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.51.245.199,443,network_304_2025-12-28_08-50.log,ready,4339,100.51.245.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,100.50.253.249,443,network_304_2025-12-28_08-50.log,ready,4356,100.50.253.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,98.91.109.132,443,network_304_2025-12-28_08-50.log,ready,4434,98.91.109.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
network_connection,Cursor.exe,11072,192.168.1.48,35.171.177.35,443,network_304_2025-12-28_08-50.log,ready,4445,35.171.177.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_termination,Cursor.exe,11072,192.168.1.48,54.147.17.243,443,network_304_2025-12-28_08-50.log,ready,4465,54.147.17.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,35.174.31.74,443,network_304_2025-12-28_08-50.log,ready,4578,35.174.31.0/24,Amazon Technologies Inc.,US,AS16509,AWS Cloud
network_connection,Cursor.exe,11072,192.168.1.48,98.91.135.254,443,network_304_2025-12-28_08-50.log,ready,4634,98.91.135.0/24,AMAZON-IAD,US,AS14618,"AMAZON-AES, US"
