identifier,type,pattern,title,message
PYTHON_NET,network,"connection created.*process: python\.exe","🚨 Python Internet Activity","python.exe created a connection. Check logs."
PYTHON_CMD,process,"name:\s*cmd\.exe.*parent:\s*python\.exe","⚠️ Python Shelled Out","python.exe ran cmd.exe. Check logs."
NEW_USER,user,"event: new user detected","⚠️ New User","A new user was created recently. Check logs"
NEW_DRIVER,driver,"new driver found","⚠️ New Driver","A new driver was created recently. Check logs"
SHELL_LINUX,process,"cmdline: .*[apt|apt\-get] ","⚠️ Shell Invocation via Apt","Detected the use of the "apt" and "apt-get" commands to execute a shell or proxy commands."
SCH_LINUX,process,"cmdline: .*[at|atd] ","⚠️ Scheduled Task/Job At","Detected the use of at/atd which are utilities that are used to schedule tasks."
AWK_LINUX,process,"cmdline: .*[awk|gawk|mawk|nawk] ","⚠️ Suspicious Invocation of Shell via AWK","Detected the execution of "awk" or it's sibling commands, to invoke a shell using the system() function."
SHEBANG_LINUX,process,"cmdline: .*[IyEvYmluL2Jhc2|IyEvYmluL2Rhc2|IyEvYmluL3pza|IyEvYmluL2Zpc2|IyEvYmluL3No] ","⚠️ Linux Base64 Encoded Shebang In CLI","Detected the presence of a base64 version of the shebang in the commandline, which could indicate a malicious payload about to be decoded"
SYSLOG_LINUX,process,"cmdline: .*[rm /var/log/syslog|rm -r /var/log/syslog|rm -f /var/log/syslog|rm -rf /var/log/syslog|unlink /var/log/syslog|unlink -r /var/log/syslog|unlink -f /var/log/syslog|unlink -rf /var/log/syslog] ","⚠️ Commands to Clear or Remove the Syslog","Detected specific commands commonly used to remove or empty the syslog. Which is often used by attacker as a method to hide their tracks"
